Номер договора,107 ВМ,Дата и время,25.08.26,,,,
Clover Club,Сухой джин,45,Большое Шале,Нет,Бластер,Цедра лимона,"Охладить бокал подачи жидким азотом. В охлажденный шейкер налить все ингредиенты. Закрыть шейкер без льда и интенсивное встряхнуть до появления устойчивой пены. Открыть шейкер. Наполнить его на 2/3 льдом. Закрыть шейкер. Встряхнуть в течении 12 секунд. Перелить содержимое шейкера в охлажденный бокал подачи, изпользуя хайторн- и файн-стрейнер. Украсить цедрой лимона, закрепив ее на краю бокала"
,Сироп Малина,20,,,,,
,Пюре Малина,30,,,,,
,п/ф Супер Джус лимонный,25,,,,,
,Белок,20,,,,,
Basil Smash,Сухой джин,60,Олд Фешен,Крафт куб+оттиск,Мадл+Шейк,Лист базилика,"Охладить бокал подачи жидким азотом. В охлажденный шейкер положить листья базилика. С помощью мадлера хорошо их размять. Добавить все остальные ингредиенты к размятым листьям. Наполнить шейкер на 2/3 льдом. Закрыть шейкер. Встряхнуть в течении 12 секунд. Перелить содержимое шейкера в охлажденный бокал подачи наполненный льдом до краев, изпользуя хауторн- и файн-стрейнер. Украсить листом базилика, положив его на поверхность напитка. Подавать без трубочки."
,п/ф Супер Джус лимонный,25,,,,,
,п/ф Сахарный сироп,20,,,,,
,Базилик свежий,10гр (8 листиков),,,,,
Mai Tai ,Ананасовый ром,60,Винный бокал,краш,Шейк н Пур,Банановые листья+слайс банана,"Охладить бокал подачи жидким азотом. В охлажденный шейкер налить все ингредиенты. Добавить полный совок крашеного льда. Закрыть шейкер. Встряхнуть 5 секунд. Перелить содержимое шейкера вместе со льдом в охлажденный бокал подачи. Досыпать крашеного льда до полного бокала. Украсить двумя листьями бамбука, предварительно срезав их по диагонали. Добавить к украшению два ринга банана с кожурой. Подавать с двумя трубочками"
,пюре Манго,30,,,,,
,Сироп Амаретто,10,,,,,
,п/ф Супер Джус лаймовый,30,,,,,
,Сироп Корица,10,,,,,
,,,,,,,
Раскладка напитков БА,,,,,,,
